# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
380,20180102,218,54,60,90,20,40,1,170,20,62,47,1,86,24,42,6,0,0,169,64,28,5,6,10084,10136,11,9986,24,   58,    3,   75,   12,8,87,93,5,79,11,2
380,20180103,247,83,88,110,3,60,24,230,5,85,69,24,112,4,58,24,4,5,87,58,114,62,4,9954,10014,22,9883,7,   30,    4,   75,    6,7,75,94,3,63,8,1
380,20180104,231,60,63,90,17,40,9,190,20,83,63,3,120,16,54,6,0,0,72,55,40,9,11,9967,10010,2,9923,15,   42,   13,   75,   23,7,84,98,9,65,19,1
380,20180105,221,56,57,80,5,30,9,150,5,76,46,23,95,15,35,24,17,21,212,25,16,6,3,9983,10030,24,9953,4,   57,    3,   73,   16,7,84,94,3,76,1,3
380,20180106,64,11,33,60,22,10,10,80,21,50,31,7,73,14,13,12,0,0,146,0,-1,-1,1,10088,10165,24,10028,1,   38,   23,   70,    2,8,91,95,23,85,12,2
380,20180107,48,81,81,90,7,60,1,150,8,29,16,17,48,1,11,18,2,2,169,6,2,2,3,10226,10248,19,10171,1,   40,    1,   70,    7,8,86,95,3,82,15,2
380,20180108,71,57,60,70,1,40,21,120,13,36,18,1,54,15,15,24,0,0,119,0,0,0,1,10208,10240,1,10150,24,   62,   23,   73,   15,8,84,91,24,79,14,1
380,20180109,133,18,25,40,2,10,8,70,2,45,-1,8,75,23,-11,12,5,6,166,0,0,0,1,10106,10141,1,10088,15,   57,    7,   70,   19,7,89,98,7,84,14,2
380,20180110,186,34,35,60,12,20,17,110,12,72,49,24,95,13,20,24,14,17,254,38,24,12,7,10092,10109,24,10080,13,   62,   20,   75,   11,8,85,95,20,75,13,3
380,20180111,40,12,18,30,15,10,3,80,10,58,37,3,81,14,22,6,0,0,209,0,0,0,1,10174,10238,24,10110,1,    6,   24,   70,    1,8,93,99,24,84,12,3
380,20180112,15,10,14,30,1,0,13,50,1,45,10,20,60,14,-2,24,0,0,82,0,0,0,1,10261,10272,20,10240,1,    1,   19,   31,   12,7,97,100,24,93,13,1
380,20180113,94,24,25,40,15,10,1,70,14,32,-4,7,72,13,-16,12,33,40,326,0,0,0,1,10237,10262,1,10205,24,    0,    1,   70,   18,5,87,100,8,72,14,4
380,20180114,117,23,30,50,24,20,8,70,10,30,0,7,64,13,-21,12,69,82,458,0,0,0,1,10196,10205,10,10177,24,   59,   19,   67,   12,2,82,95,7,71,13,5
380,20180115,203,77,79,130,18,50,1,210,18,54,31,5,78,23,22,6,0,0,131,39,36,10,17,10045,10168,1,9937,20,   62,    5,   75,   12,8,85,95,21,79,3,2
380,20180116,245,56,59,70,3,30,19,160,14,54,27,19,76,13,15,24,26,31,316,5,19,17,10,9945,9959,17,9928,6,   62,   18,   81,   14,7,80,88,1,61,16,4
380,20180117,245,58,60,80,14,50,6,170,5,30,4,7,44,16,2,12,23,27,246,35,50,17,5,10031,10089,22,9936,1,   28,    5,   75,    4,8,83,97,7,73,18,3
380,20180118,243,67,78,140,10,20,21,250,10,55,10,24,106,9,5,24,18,21,288,60,75,34,22,10001,10057,1,9918,8,   29,    4,   82,   13,8,80,97,23,57,10,4
380,20180119,229,45,46,60,13,40,1,110,5,31,17,23,59,14,9,24,32,37,378,19,20,7,6,10090,10107,23,10048,1,   44,    4,   75,   12,7,86,96,1,74,15,4
380,20180120,209,23,36,60,5,10,19,90,3,21,13,16,34,11,13,24,2,2,96,92,65,12,12,10044,10101,1,9988,16,   26,   22,   70,    2,8,94,98,18,87,5,1
380,20180121,203,24,31,50,21,20,1,80,21,23,-7,8,46,13,-14,12,38,44,348,30,19,10,22,10138,10174,11,10076,1,   11,    7,   72,   20,8,91,98,1,80,20,4
380,20180122,251,30,35,50,2,30,1,90,20,69,28,1,89,12,27,6,0,0,208,31,13,7,4,10111,10203,24,10063,5,    7,    5,   70,   12,8,91,100,5,82,14,3
380,20180123,211,58,59,80,14,30,1,140,19,81,46,2,101,24,35,6,23,26,352,6,1,1,1,10209,10227,10,10194,22,   41,   22,   75,   13,8,84,92,20,72,13,5
380,20180124,211,84,86,110,21,60,2,180,21,116,96,24,133,12,95,24,5,6,267,3,2,2,24,10146,10194,1,10103,22,   57,    8,   75,   11,8,81,93,8,72,18,4
380,20180125,210,33,35,50,1,20,21,120,18,72,57,21,96,1,48,24,0,0,147,77,62,16,15,10128,10139,24,10119,13,   36,    1,   70,    7,8,92,96,2,83,13,2
380,20180126,217,20,23,30,2,10,17,70,12,60,43,6,76,15,10,24,11,12,288,0,0,0,1,10197,10274,24,10137,1,   56,   24,   72,   15,8,91,97,7,80,15,4
380,20180127,216,43,45,90,22,10,1,140,24,56,42,24,78,15,33,12,64,72,534,7,4,4,24,10298,10316,11,10275,1,   18,   24,   75,   16,7,85,97,2,72,17,7
380,20180128,226,67,67,80,16,60,6,120,2,81,42,1,104,15,41,6,3,3,187,25,8,4,1,10313,10324,11,10292,1,   22,    1,   70,   13,8,93,98,2,84,14,3
380,20180129,239,62,65,80,4,20,24,140,8,88,49,24,98,12,26,24,0,0,83,25,21,10,19,10278,10308,1,10240,16,   25,   18,   75,   10,7,87,98,19,78,16,1
380,20180130,211,27,30,50,23,10,17,90,23,48,10,8,77,14,-5,12,50,55,554,0,-1,-1,1,10274,10311,8,10185,24,    1,    3,   73,   15,7,90,99,3,73,15,7
380,20180131,225,64,66,100,10,30,19,170,11,70,26,24,94,3,11,24,0,0,75,72,75,22,13,10068,10171,1,10013,22,   50,    2,   70,    8,7,90,96,2,84,16,1
380,20180201,220,52,53,80,10,30,17,140,11,26,10,7,48,16,3,12,26,28,296,6,3,3,13,10016,10034,20,10002,6,   63,   19,   75,   15,5,85,92,13,78,16,3
380,20180202,247,35,38,60,1,20,16,120,8,28,19,15,42,10,14,18,2,2,136,68,42,13,13,10050,10090,24,10023,7,   47,   14,   70,    1,8,95,98,16,86,1,2
380,20180203,231,21,26,50,14,10,5,70,11,23,12,6,39,13,5,6,0,0,223,12,2,1,16,10078,10104,24,10059,14,   27,    7,   70,   15,8,95,98,2,87,13,3
380,20180204,26,48,50,70,3,30,1,100,3,-4,-25,24,22,1,-34,24,9,10,275,21,9,6,2,10201,10255,23,10111,1,   27,    1,   75,    6,7,84,96,1,76,8,3
380,20180205,61,52,53,60,4,50,1,90,13,-6,-27,5,30,15,-35,6,83,88,803,0,0,0,1,10240,10263,9,10196,24,   56,    4,   80,   15,1,80,92,4,64,15,8
380,20180206,55,41,43,50,1,30,4,80,1,-17,-32,5,1,13,-40,6,4,4,277,8,2,1,17,10146,10188,1,10125,16,   39,   16,   64,    2,8,84,94,18,78,12,3
380,20180207,4,26,28,40,2,10,22,70,2,-23,-58,24,11,16,-80,24,58,61,639,0,0,0,1,10174,10205,24,10142,1,   58,    9,   76,   17,4,80,89,9,66,16,6
380,20180208,191,28,28,30,5,20,1,80,12,-33,-76,6,13,14,-87,6,62,65,743,0,0,0,1,10207,10222,10,10186,24,   28,    3,   62,   11,5,80,95,2,62,13,7
380,20180209,186,48,48,70,9,20,1,120,9,-6,-37,4,20,13,-54,6,62,64,678,43,6,2,21,10142,10183,1,10117,16,   21,   21,   71,   16,8,82,98,21,69,12,7
380,20180210,208,46,48,80,22,30,5,130,23,19,4,24,47,15,3,18,20,21,240,27,10,4,24,10145,10168,11,10078,24,    7,    9,   75,   18,8,89,99,8,71,16,3
380,20180211,224,55,63,100,5,40,16,170,6,32,6,24,61,14,0,24,16,16,317,43,32,6,1,10037,10083,24,10003,6,   40,    4,   81,   16,7,85,95,24,64,16,4
380,20180212,231,41,43,50,1,30,18,90,1,16,-9,24,46,13,-20,24,34,35,492,3,9,9,14,10145,10170,19,10089,1,   64,   14,   80,   13,6,80,93,1,67,13,6
380,20180213,163,39,43,70,12,20,22,110,12,10,-20,23,53,13,-59,24,87,88,943,0,0,0,1,10123,10161,1,10098,15,   70,    1,   83,   17,0,70,83,2,49,15,10
380,20180214,155,37,38,60,14,20,2,120,14,18,-35,6,59,14,-76,6,90,90,957,0,0,0,1,10143,10158,9,10117,24,   75,    5,   83,   22,4,60,73,6,47,11,11
380,20180215,197,38,43,70,2,20,19,130,2,44,9,24,90,16,-11,24,10,10,194,65,70,14,3,10132,10202,24,10092,7,   30,    8,   83,    1,7,90,97,9,59,1,2
380,20180216,214,20,26,40,5,10,18,70,14,28,-11,7,82,15,-47,24,89,88,936,0,0,0,1,10255,10274,11,10210,1,   58,    5,   80,   15,3,81,97,1,54,14,11
380,20180217,82,27,30,40,7,20,2,70,15,17,-9,23,57,14,-41,24,57,56,727,0,0,0,1,10234,10259,23,10216,7,   61,   22,   72,   13,5,80,90,8,66,15,8
380,20180218,181,26,27,40,11,20,1,80,8,22,-29,7,78,14,-54,6,90,88,971,0,0,0,1,10255,10270,11,10233,24,   59,    5,   73,   17,3,73,91,5,54,16,11
